ID	Problem	Complexity
5843	Repairing	1 / 2
5844	Sun and Moon	7 / 12
5845	Usoperanto	14 / 14
5846	Computer game (platforms)	415 / 475
5847	Platforms with additional criterion of optimizat	112 / 140
5848	Computer game (platforms) with path	158 / 180
5849	Computer game (platforms) with quadratic jumps	119 / 255
5850	Mathematical platforms	176 / 303
5851	Way via mountains (small limits)	4 / 15
5852	Way via mountains	6 / 26
5853	Chess	0 / 1
5854	Maximum Sum basic	556 / 772
5855	Maximum Sum with number of ways	187 / 308
5856	MaxSum (jumps to any column)	185 / 205
5857	MaxSum (odd sum)	89 / 161
5858	MaxSum (visit each column)	39 / 55
5859	MaxSum (visit all columns by chess knight)	12 / 19
5860	MaxSum (lucky sum-1)	42 / 70
5861	MaxSum (lucky sum-2)	39 / 46
5862	Solitaire (small limits)	2 / 4
5863	Solitaire	2 / 3
5864	Unfolding the Solitaire	1 / 2
5865	Sum maximization game	98 / 144
5866	Maximization giveaway	76 / 123
5867	Decomposition into a sum of cubes	380 / 494
5868	A xor B	1745 / 1798
5869	Bowling analysis	19 / 21
5870	Count them!	54 / 76
5871	DAG game	19 / 30
5872	Explosive Chapaeff	4 / 4
5873	Fibonacci hater`s him	4 / 6
5874	Grundy`s game	101 / 127
5875	Hard MEX	33 / 45
5876	Interval game	83 / 96
5877	Jam	4 / 7
5878	K-nim	13 / 13
5879	Leaping	16 / 31
5880	MEX	288 / 306
5881	Nim	138 / 183
5882	Asterisk	1 / 3
5883	Anansi`s Cobweb	33 / 40
5884	Admission to Exam	14 / 19
5885	Lunar Code 2	10 / 10
5886	Mortal Kombat	13 / 16
5887	Monkey at the Keyboard	18 / 21
5888	Space Poker 3	0 / 0
5889	Scrooge`s Tower	2 / 17
5890	Прямоугольники	9 / 31
5891	Самый подвижный	9 / 16
5892	Делимость на 8	13 / 26
5893	Сколько возрастающих?	24 / 27
5894	Тройки	17 / 20
5895	На две команды	11 / 11
5896	Наперстки	8 / 10
5897	Sum of squares	211 / 444
5898	Сколько кратных	60 / 104
5899	Умножение	24 / 127
5900	Мультифакториал	8 / 15
5901	Дискретное преобразование Фурье	37 / 53
5902	Обратный порядок	13 / 16
5903	Различные суммы	14 / 26
5904	Мультифакториал - 2	17 / 19
5905	Корни из единицы	63 / 71
5906	Дискретное преобразование Фурье - 2	28 / 30
5907	Квадратный корень	31 / 49
5908	Поиск в словаре	3 / 14
5909	Строки Фибоначчи	8 / 20
5910	Изоморфизмы	2 / 2
5911	Палиндромная строка	37 / 66
5912	Суффиксная игра	3 / 5
5913	Количество различных подстрок	9 / 38
5914	Суффиксное дерево на очереди	2 / 3
5915	Вершины неявного суффиксного дерева	4 / 7
5916	Суффиксы одной строки	16 / 20
5917	Зебра - тоже конь	40 / 46
5918	Счастливая сумма 3	10 / 14
5919	Fibonacci haters` nim 2. Peter strikes back!	3 / 3
5920	Автобусы господина Чудакова	7 / 8
5921	Номер слова	9 / 16
5922	Делимость на 2^N	6 / 11
5923	Суффиксная игра 2	2 / 3
5924	Суффиксное дерево двух строк	4 / 5
5925	Winter Roads	0 / 2
5926	Can of Worms	0 / 9
5927	Automatic Trading	0 / 9
5928	3D Printer	0 / 3
5929	Flooding Fields	0 / 1
5930	Goat Ropes	0 / 4
5931	Job Postings	0 / 2
5932	Overlapping Maps	0 / 4
5933	Unreal Estate	0 / 7
5934	Satisfaction Guaranteed	0 / 1
5935	Uniform Subtrees	0 / 1
5936	Псевдо-шаблон	0 / 0
5937	Рыцари	0 / 6
5938	Изоморфизмы – 2	0 / 1
5939	Суффиксный поднабор	5 / 7
5940	Палиндромная строка (Hard)	5 / 10
5941	Изоморфные суффиксные деревья	0 / 0
5942	Суффиксная игра (Hard)	1 / 1
5943	Вершины неявного суффиксного дерева (Hard)	0 / 1
5944	Уникальные суффиксы (online версия)	0 / 1
5945	Умножение - 2	8 / 39
5946	Темные ночи	6 / 10
5947	Количество пар	3 / 53
5948	Количество пар - 2	1 / 2
5949	Палиндромы	0 / 5
5950	Два вместо трёх	0 / 0
5951	Сопоставление с шаблоном	1 / 1
5952	Дерево отрезков	14 / 41
5953	Построить треугольник	1 / 1
5954	Разрезать треугольник	2 / 2
5955	Прямоугольное окно	8 / 8
5956	Integer point	1 / 3
5957	Погоня	1 / 2
5958	Триангуляция	9 / 14
5959	Круги	0 / 0
5960	Ломаная	0 / 0
5961	Мосты	0 / 0
5962	Диаграмма Вороного	0 / 0
5963	Сбор бобов	2 / 8
5964	Обратный сбор бобов	3 / 6
5965	Большой сбор бобов	0 / 3
5966	Сравнение цепных дробей	1 / 4
5967	Сравнение периодических цепных дробей	0 / 0
5968	Представление квадратичной иррациональностью	0 / 0
5969	Суммирование цепных дробей	2 / 5
5970	F(4)-разложение	1 / 1
5971	Машина Мак-Каллоха	0 / 2
5972	Решение машинного уравнения	0 / 0
5973	Out of the line!	771 / 863
5974	Олимпийская система	0 / 10
5975	Тройки - 2	4 / 14
5976	Сколько возрастающих - 2	18 / 29
5977	Каков шаблон?	6 / 14
5978	Сколько шаблонов?	3 / 12
5979	Какое слово?	9 / 14
5980	Как рассадить?	1 / 15
5981	Обработать выражение	1 / 10
5982	Самый подвижный - 2	2 / 13
5983	Клавиатура	0 / 7
5984	Экзамен по компьютерной графике	1 / 8
5985	Конфиденциальность	0 / 1
5986	Демократия	0 / 0
5987	Домашнее задание	1 / 8
5988	Fibonacci haters` nim 3. Return of Peter	1 / 3
5989	Ипподром	0 / 23
5990	Современное икусство	2 / 3
5991	Палиндромы 100500	3 / 5
5992	Гипотеза Римана	20 / 20
6002	Are We There Yet?	15 / 16
6003	Fast Times at Ridgemont`s Planet	2 / 2
6004	Symbolic Mathematics	0 / 0
6005	Gray Code	5 / 7
6006	Change by Mass	2 / 3
6007	Relative Paths	0 / 0
6008	Inverse Triangular Numbers	272 / 295
6009	I`ll Be Round About	0 / 1
6010	Jill and Phil`s Palindromic Peregrinations	0 / 0
6011	Pavement Signage	0 / 1
6012	Time Limit Exceeded	8 / 9
6013	Counting Again?	12 / 26
6014	Coin Turning Game	1 / 2
6015	Solitaire	1 / 1
6016	Matrix	3 / 3
6017	Largest inscribed rectangle	12 / 16
6018	XOR Sum	144 / 174
6019	There is no place like 127.0.0.1	0 / 4
6020	Robots on a grid	61 / 75
6021	Mega Inversions	143 / 169
6022	Death Knight Hero	496 / 551
6023	Elevator Trouble	53 / 62
6024	ls	19 / 26
6025	Knigs of the Forest	3 / 4
6026	Car Trouble	17 / 18
6027	Private Space	16 / 16
6028	Prime Time	1 / 3
6029	Enemy Division	20 / 20
6030	Boggle	14 / 23
6031	Booking	27 / 30
6032	Chess	48 / 53
6033	Kastenlauf	357 / 422
6034	No Trees But Flowers	17 / 20
6035	Peg Solitaire	16 / 17
6036	Ringworld	14 / 15
6037	The King of the North	20 / 24
6038	Ticket Draw	11 / 11
6039	Timing	0 / 1
6040	Triangles	13 / 14
6041	The Navi-Computer is Down!	6 / 10
6042	Blenjeel Sand Worms and Color Wriggles	13 / 14
6043	This Can`t Go On Forever	4 / 4
6044	Rescue Beacon	0 / 0
6045	Let the Wookiee Win!	0 / 0
6046	Laser Turret Maintenance	0 / 0
6047	George Lucas and 1138	18 / 18
6048	Spare the Ewoks!	0 / 0
6049	The History of the Sith Rulers	3 / 3
6050	Laser Shot	1 / 1
6051	Power Grid	0 / 1
6052	Quicksum	208 / 219
6053	Linear Pachinko	18 / 19
6054	Surprising Strings	49 / 51
6055	Falling Ice	0 / 1
6056	Frugal Search	19 / 19
6057	Go Go Gorelians	15 / 15
6058	Root of the Problem	242 / 289
6059	Sum of Odd Sequence	509 / 542
6060	Spiral	3 / 7
6061	Surface Area	4 / 4
6062	Table	0 / 3
6063	Huge Knight	0 / 1
6064	Matrix Transformation	2 / 2
6065	Bi-coloring	1 / 1
6066	Sorting	0 / 4
6067	Sum of Powers Version I	33 / 37
6068	Qurban 2011	0 / 1
6069	Ride My Bicycle	240 / 258
6070	Counting Sheep	127 / 140
6071	Sequence	8 / 10
6072	Untidy Desktops	2 / 2
6073	Picnic Planning	3 / 17
6074	Poly-polygonal Numbers	0 / 2
6075	Rational Approximation	2 / 2
6076	Stacking Cubes	15 / 16
6077	Checker`s Check	0 / 1
6078	To Bet or Not To Bet	13 / 13
6079	BSP Trees	1 / 1
6080	Double Trouble	0 / 0
6081	"Metro"	16 / 23
6082	Supernatural	233 / 321
6083	"Pieces of Paper"	9 / 10
6084	"Nested rectangles"	13 / 43
6085	"Turns minimization"	19 / 35
6086	"Same quantity, sum and product"	4 / 5
6087	A Cycle of Points	19 / 38
6088	"Sum"	51 / 61
6089	"Desoxyribonucleic Acid"	41 / 47
6090	"Easy Recurrence"	2 / 20
6100	Контрольный блок	12 / 15
6102	Integral Rectangles	21 / 21
6103	ICPC Ranking	14 / 14
6104	Hierarchical Democracy	14 / 14
6105	Prime Caves	10 / 15
6106	Anchored Balloon	0 / 1
6107	Rotate and Rewrite	13 / 13
6119	Fiber Network	20 / 20
6122	Simple Stack	2630 / 2820
6123	Stack with error protection	2076 / 2229
6124	Стек неограниченного размера	1384 / 1559
6125	Простая очередь	1757 / 1923
6126	Очередь с защитой от ошибок	1305 / 1459
6127	Очередь неограниченного размера	1166 / 1275
6128	Simple deque	1604 / 1730
6129	Deque with error protection	1378 / 1493
6130	Deque of infinite size	1026 / 1159
6131	Последовательность	99 / 122
6132	Автобус	75 / 104
6133	Головоломка	3 / 11
6134	Электронная почта	8 / 19
6135	Виртуляндия	1 / 1
6136	Последовательность	0 / 0
6137	ABC	0 / 0
6138	Квадратный корень	2 / 2
6139	Детали	0 / 0
6140	Взаимоучет долгов	0 / 0
6141	Сравнение компостеров	0 / 0
6142	Количество компостеров	0 / 0
6143	Архиватор	0 / 0
6144	3x+1	6 / 15
6145	Omicronian Domino	0 / 0
6146	Osipovsky Cup	2 / 8
6147	RoboFest	2 / 4
6148	Computer Vision	69 / 75
6149	Casino	0 / 0
6150	Campus	2 / 4
6151	Coffee	2 / 24
6152	ACM Fail	1 / 2
6153	Sixth Sence	0 / 3
6154	Zota 2	1 / 7
6155	Wrong monks	522 / 684
6156	Ханойские башни - перезагрузка	132 / 160
6157	Соседние башни	118 / 141
6158	Головоломка Мажордома	15 / 16
6159	The Towers of Hanoi Revisited	4 / 8
6160	Thread Tree	15 / 15
6161	Trodden Cable	0 / 5
6162	Fox Observation	13 / 13
6163	Removing Magical Tiles	9 / 11
6164	Optimal alpha beta pruning	9 / 9
6165	Graph Automata Player	0 / 2
6166	Spotlight Movement	2 / 21
6167	Gravity Point	1 / 2
6168	Multi Path Story	0 / 1
6169	Rotation Game	0 / 1
6170	Russian Dolls	28 / 32
6171	InterCity	19 / 29
6172	Count	3 / 19
6173	Chess	0 / 3
6174	A+B	21 / 51
6175	Dragon Pattern	0 / 0
6176	Points	19 / 30
6177	Red John Game	22 / 36
6178	Influence	14 / 28
6179	An Idea of Mr. A	32 / 36
6186	Box of Bricks	27 / 33
6187	Hanoi tower	14 / 15
6188	Plunder & Flee	4 / 9
6189	Blobs` Exhibition	7 / 8
6190	Number Game	127 / 144
6191	Evil & Odious	117 / 119
6192	Checkers	7 / 8
6193	Redirect	4 / 5
6194	Klingon Battle Bagel	15 / 16
6195	Meteorite	0 / 0
6196	Triangles	11 / 12
6198	Minimum Sum	347 / 394
6199	Oddities	3030 / 3236
6200	Ternarian Weights	15 / 15
6201	Goldbach`s Conjecture	56 / 67
6202	Shotcube	0 / 0
6203	Erratic Ants	12 / 14
6204	Plotting Polynomials	1 / 1
6205	Trapezoid Walkway	3 / 3
6206	4 thought	5 / 11
6207	Biggest Slice	2 / 2
6208	Even Up Solitaire	28 / 32
6209	Island Buses	0 / 1
6210	Candy Store	66 / 82
6211	Collision Detection	1 / 3
6212	Do It Wrong, Get It Right	2 / 3
6213	Dueling Philosophers	13 / 17
6214	Paint Me	1 / 1
6215	Party Games	18 / 19
6216	Reverse Nonogram	1 / 2
6217	Tsunami	0 / 2
6218	Unhappy Numbers	2 / 5
6219	Walls	2 / 3
6220	Random Walking	13 / 13
6221	Full Tank	13 / 14
6222	Kingdom	12 / 12
6223	The Bottom of a Graph	9 / 12
6224	Dark Roads	18 / 18
6225	Beacons	0 / 1
6226	Food Review	0 / 1
6227	From Dusk Till Down	11 / 16
6233	Fenwick Tree	19 / 24
6239	Honey Bees	186 / 244
6240	Repeating Decimals	23 / 37
6241	Solutions of Cubic Equation	4 / 18
6242	Multiplication in a Dihedral Group	2 / 3
6243	Area Between Outer Hull and Inner Hull	2 / 5
6244	Sharkovski`s Ordering	40 / 48
6245	M M Detour	5 / 7
6246	More Fun in Bicol	0 / 2
6247	Interior Lattice Points	60 / 68
6248	Permutations	70 / 92
6249	Planting Trees	480 / 552
6250	Boiling Vegetables	78 / 93
6251	Number Trick	53 / 79
6252	Robert Hood	7 / 21
6253	Virus Replication	106 / 154
6254	Timebomb	13 / 18
6255	Erase Securely	50 / 51
6256	Pinball	0 / 2
6257	Dance Reconstruction	0 / 0
6258	Dartboard	3 / 3
6259	Cliff Walk	1 / 2
6260	Arrangement of Contest	321 / 363
6261	Ballot Analyzing Device	150 / 182
6262	Correcting Curiosity	1 / 4
6263	Dwarf Tower	103 / 128
6264	Energy Tycoon	142 / 152
6265	Flight Boarding Optimization	18 / 18
6266	Garage	37 / 39
6267	Heavy Chain Clusterization	0 / 4
6268	Intellectual Property	0 / 1
6269	J	0 / 0
6270	Kids in a Friendly Class	34 / 41
6271	Lonely Mountain	0 / 0
6272	School Olympiad	1722 / 1896
6273	A square from squares	847 / 1030
6274	Раздел клада	973 / 1134
6275	Удвоение	1701 / 2377
6276	Игра в камешки	616 / 844
6277	Buy the water	4956 / 5485
6278	City numbers	5747 / 6464
6279	Количество дней в месяце	1175 / 1638
6280	The amount of n-digit numbers	107 / 396
6281	Банк	35 / 51
6282	Ставка	49 / 51
6283	Взлом шифра	10 / 11
6284	Болезнь	7 / 14
6285	Разделение королевства	13 / 18
6286	Mysterious equation	275 / 457
6287	Осенний парк	2 / 5
6288	Палиндромные числа	4 / 7
6289	Необычный экспонат	2 / 3
6290	Супрематизм	2 / 6
6291	ASCII Art	8 / 9
6292	Billing Tables	7 / 9
6293	Cellular Automaton	6 / 8
6294	Driving Directions	0 / 1
6295	Exchange	0 / 1
6296	Fool`s Game	0 / 1
6297	Graveyard	3 / 4
6298	Hard Life	0 / 6
6299	Interconnect	2 / 6
6300	Java vs C++	45 / 57
6301	Kickdown	15 / 16
6302	Garland	596 / 744
6303	Ванна	0 / 4
6304	Парковка	1 / 7
6305	Авиапроездной	0 / 1
6306	Кубичность	0 / 0
6307	Отрезки	1 / 6
6308	Парад	1 / 4
6309	Гиперия	8 / 11
6310	Как украсть миллион	11 / 25
6311	Клавиатура	606 / 710
6312	Файндворд	0 / 3
6313	Палиндром	6 / 15
6314	Гостиница планеты Шелезяка	0 / 0
6315	Алиса-путешественница	0 / 0
6316	Делимость	9 / 19
6317	Большой экран	50 / 83
6318	Дети Нолика	18 / 21
6319	Калькулятор	0 / 6
6320	Соседи	4 / 6
6321	Спички	0 / 3
6322	Конфеты	42 / 66
6323	Личное пространство	18 / 29
6344	Квадрат по двум вершинам	237 / 335
6345	Перескаются ли отрезки - 1	26 / 47
6346	Пересекаются ли отрезки - 2	15 / 38
6347	Какая часть прямой в круге?	8 / 24
6348	Расстояние от точки до отрезка	62 / 118
6349	Площадь простого многоугольника	59 / 170
6350	Изированная вода	706 / 894
6351	Экономика должна быть экономной!	59 / 191
6352	n-th Square Free	54 / 61
6353	И вода прокормить может!	4 / 14
6354	Эстафета	41 / 53
6355	Соревнования по ориентированию	14 / 67
6356	Корень кубического уравнения	93 / 146
6357	Казино	7 / 22
6358	Голова профессора Интегралова	119 / 141
6359	Накрыть стол к чаю	67 / 138
6360	Сломанный свич	16 / 40
